PG.ID,site,level,C14mean,C14sdev,C14.COV,lab.num,material,calib.curve,calBPmedian,group,region,notes
,Aguila,conchero,7705,50,0.00648929266709929,UBAR-794,shell,marine20,8162,Asturian,Cantabria,
,Allorú,conchero,8360,70,0.00837320574162679,UBAR-781,shell,marine20,8922,Asturian,Cantabria,
,Andrín,conchero,9736,1077,0.110620377978636,AND-1,AAR date,normal,9736,Mesolithic,Cantabria,
,Arangas,3,8195,60,0.0073215375228798,OxA-7149,bone,intcal20,9190,Mesolithic,Cantabria,
,Arangas,3,8300,50,0.00602409638554217,OxA-6887,charcoal,intcal20,9258,Mesolithic,Cantabria,
,Arangas,4,8280,55,0.00664251207729469,OxA-6888,charcoal,intcal20,9251,Mesolithic,Cantabria,
,Arangas,2B,8025,80,0.00996884735202492,OxA-7160,bone,intcal20,8922,Mesolithic,Cantabria,
,Arangas,E2,7150,470,0.0657342657342657,UBAR-465,charcoal,intcal20,8017,Mesolithic,Cantabria,
88,Arenillas,Conchero,6075,30,0.00493827160493827,UBAR-775,shell,marine20,,Mesolithic,Cantabria,
,Arenillas,conchero,6455,60,0.00929512006196747,UBAR-775,shell,marine20,6945,Mesolithic,Cantabria,
89,Arenillas,NA,5580,80,0.014336917562724,GrN-19596,charcoal,intcal20,,Mesolithic,Cantabria,
1847,Azules,3d,9540,120,0.0125786163522013,CSI-C-260,charcoal,intcal20,,Mesolithic,Cantabria,
1848,Azules,3d,9430,120,0.0127253446447508,CSI-C-216,charcoal,intcal20,,Mesolithic,Cantabria,
139,Barcenilla,V,7020,30,0.00427350427350427,Poz-18849,charcoal,intcal20,,Mesolithic,Cantabria,
140,Barcenilla,V,6380,40,0.00626959247648903,Poz-18850,charcoal,intcal20,,Mesolithic,Cantabria,
,Barra,conchero,6979,1539,0.220518698954005,BAR-2,AAR date,normal,6979,Mesolithic,Cantabria,
,Barra,conchero,7121,964,0.135374245190282,BAR-1,AAR date,normal,7121,Mesolithic,Cantabria,
,Berroberría,B,8580,80,0.00932400932400932,GrN-18423,bone,intcal20,9644,Mesolithic,Cantabria,
,Berroberría,B,8800,80,0.00909090909090909,GrN-18422,bone,intcal20,9880,Mesolithic,Cantabria,
,Berroberría,B base,8470,80,0.00944510035419126,GrN-16619,bone,intcal20,9414,Mesolithic,Cantabria,
,Berroberría,C,8510,90,0.0105757931844888,GrN-16618,bone,intcal20,9502,Mesolithic,Cantabria,
,Berroberría,C,8630,70,0.00811123986095017,GrN-18426,bone,intcal20,9742,Mesolithic,Cantabria,
,Berroberría,C,8860,100,0.0112866817155756,GrN-18425,bone,intcal20,9913,Mesolithic,Cantabria,
,Braña,Homo burial 1,7030,50,0.00711237553342817,NA,NA,intcal20,7844,Mesolithic,Cantabria,
,Braña,Homo burial 2,6980,50,0.00716332378223496,NA,NA,intcal20,7810,Mesolithic,Cantabria,
,Bricia,A,7095,481,0.0677942212825934,BRI-2,AAR date,normal,7095,Asturian,Cantabria,
,Bricia,conchero,6800,160,0.0235294117647059,GaK-2908,charcoal,intcal20,7672,Asturian,Cantabria,
,Bricia,conchero,8862,1403,0.158316407131573,BRI-1,AAR date,normal,8862,Asturian,Cantabria,
,Cabrera,conchero,9795,1494,0.152526799387443,LCB-2,AAR date,normal,9795,Mesolithic,Cantabria,
34,Calvera,1,8640,50,0.00578703703703704,PO-5,charcoal,intcal20,,Mesolithic,Cantabria,
35,Calvera,2,8950,50,0.00558659217877095,PO-4,charcoal,intcal20,,Mesolithic,Cantabria,
,Calvera,2,8640,50,0.00578703703703704,NA,NA,intcal20,9691,Mesolithic,Cantabria,
,Calvera,3,9620,60,0.00623700623700624,GrA-6994,charcoal,intcal20,10940,Mesolithic,Cantabria,
,Cámara,conchero,7878,2485,0.315435389692815,CAM-1,AAR date,normal,7878,Mesolithic,Cantabria,
271,Campa,Roca madre,9290,50,0.00538213132400431,PO-3,charcoal,intcal20,,Mesolithic,Cantabria,
,Canes,69.5408163265306,6815,65,0.00953778429933969,AA-5296,human bone,intcal20,7690,Mesolithic,Cantabria,
,Canes,6-I,6160,55,0.00892857142857143,OxA-7148,human bone,intcal20,7030,Mesolithic,Cantabria,
,Canes,6-I (F),6265,75,0.0119712689545092,AA-5294,human bone,intcal20,7130,Mesolithic,Cantabria,
694,Canes,6-II,6860,65,0.00947521865889213,AA-5295,human bone,intcal20,,Mesolithic,Cantabria,
695,Canes,6-II,6770,65,0.00960118168389956,AA-5296,human bone,intcal20,,Mesolithic,Cantabria,
,Canes,6-II,7025,80,0.0113879003558719,AA-11744,human bone,intcal20,7876,Mesolithic,Cantabria,
,Canes,6-III (K),6930,95,0.0137085137085137,AA-6071,human bone,intcal20,7760,Mesolithic,Cantabria,
698,Canes,NA,5865,70,0.0119352088661552,AA-5788,charcoal,intcal20,,Mesolithic,Cantabria,
1787,Carabión,1,5440,40,0.00735294117647059,Poz-30592,bone,intcal20,,Neolithic,Cantabria,
1816,Carabión,1,5750,40,0.00695652173913043,Poz-18372,charcoal,intcal20,,Mesolithic,Cantabria,
1817,Carabión,1,7800,50,0.00641025641025641,Poz-32691,bone,intcal20,,Mesolithic,Cantabria,
1818,Carabión,1,10310,60,0.005819592628516,Poz-30594,bone,intcal20,,Mesolithic,Cantabria,
,Carmona,conchero,9885,1094,0.110672736469398,CAR-1,AAR date,normal,9885,Mesolithic,Cantabria,
,Ceñil,conchero,8921,1105,0.123865037551844,CŜâL-1,AAR date,normal,8921,Mesolithic,Cantabria,
,Chora,conchero interior,6360,80,0.0125786163522013,GrN-20961,charcoal,intcal20,7242,Mesolithic,Cantabria,
,Coberizas,1b,7100,70,0.00985915492957747,GaK-2907,charcoal,intcal20,7926,Asturian,Cantabria,
,Coberizas,conchero,7100,170,0.023943661971831,NA,charcoal,intcal20,7930,Asturian,Cantabria,
,Coberizas,"conchero, corte B",6799,573,0.0842770995734667,COB-1,AAR date,normal,6799,Asturian,Cantabria,
442,Cofresnedo,Conchero,6865,45,0.00655498907501821,GrA-20146,bone,intcal20,,Mesolithic,Cantabria,
,Cofresnedo,VO,7680,50,0.00651041666666667,GrA-20146,bone,intcal20,8488,Mesolithic,Cantabria,
,Collamosa,conchero,7638,726,0.0950510604870385,COL-1,AAR date,normal,7638,Asturian,Cantabria,
444,Colomba,NA,7090,60,0.00846262341325811,TO-10223,human bone,intcal20,,Mesolithic,Cantabria,
,Columba,conchero,7020,90,0.0128205128205128,UBAR-833,charcoal,intcal20,7874,Asturian,Cantabria,
,Columba,conchero,7090,60,0.00846262341325811,TO-10233,bone,intcal20,7923,Asturian,Cantabria,
,Columba,conchero,7450,120,0.0161073825503356,UBAR-795,shell,marine20,7930,Asturian,Cantabria,
,Columba,conchero,7550,140,0.0185430463576159,UBAR-782,shell,marine20,8023,Asturian,Cantabria,
1839,Corvas,"Hogar, roca madre",4973,37,0.00744017695556002,DSH-5056,charcoal,intcal20,,Neolithic,Cantabria,
1840,Corvas,"Hogar, roca madre",4447,39,0.00876995727456712,DSH-5057,charcoal,intcal20,,Neolithic,Cantabria,
1838,Corvas,NA,4770,31,0.00649895178197065,DSH-3620,charcoal,intcal20,,Neolithic,Cantabria,
,Cosfresnedo,conchero,6865,45,0.00655498907501821,NA,NA,intcal20,7733,Mesolithic,Cantabria,
,Covajorno,conchero,7440,955,0.128360215053763,COV-1,AAR date,normal,7440,Mesolithic,Cantabria,
,Covajorno,conchero,7540,100,0.013262599469496,UBAR-773,shell,marine20,8005,Asturian,Cantabria,
,Covajorno,conchero,7580,60,0.0079155672823219,UBAR-774,shell,marine20,8058,Asturian,Cantabria,
,Cubio Redondo,conchero,6630,50,0.00754147812971342,Beta-10650,bone,intcal20,7534,Mesolithic,Cantabria,
657,Cubio Redondo,NA,5780,50,0.00865051903114187,Beta-106049,charcoal,intcal20,,Mesolithic,Cantabria,
,Cueto Molino,conchero,7552,1178,0.155985169491525,CML-1,AAR date,normal,7552,Mesolithic,Cantabria,
,Cuetu la Hoz,conchero,7690,130,0.0169050715214564,UBAR-792,shell,marine20,8138,Asturian,Cantabria,
,Cuetu la Hoz,conchero,9101,1141,0.12537083836941,CLZ-1,AAR date,normal,9101,Mesolithic,Cantabria,
699,Cueva de los Canes,NA,5980,80,0.0133779264214047,TO-11219,human bone,intcal20,,Mesolithic,Cantabria,
